__time,/RMSE/data
1669053116.296169,0.112384
1669053116.496336,0.112384
1669053116.696147,0.112384
1669053116.896276,0.109508
1669053117.096262,0.113342
1669053117.296232,0.111304
1669053117.496224,0.111304
1669053117.696181,0.111304
1669053117.896183,0.111304
1669053118.096174,0.115926
1669053118.296156,0.119865
1669053118.496170,0.119865
1669053118.696185,0.119865
1669053118.896190,0.116941
1669053119.096217,0.118897
1669053119.296184,0.118897
1669053119.496175,0.118897
1669053119.696184,0.118897
1669053119.896164,0.123640
1669053120.096140,0.121946
1669053120.296103,0.120844
1669053120.496099,0.122925
1669053120.696234,0.120020
1669053120.896331,0.120866
1669053121.096264,0.124036
1669053121.296267,0.128425
1669053121.496201,0.125774
1669053121.696183,0.124381
1669053121.896202,0.126078
1669053122.096174,0.127591
1669053122.296200,0.122137
1669053122.496195,0.123710
1669053122.696167,0.124093
1669053122.896152,0.126493
1669053123.096194,0.121954
1669053123.296160,0.121954
1669053123.496160,0.121954
1669053123.696094,0.119950
1669053123.896136,0.124872
1669053124.096130,0.124287
1669053124.296143,0.124287
1669053124.496201,0.124798
1669053124.696272,0.122756
1669053124.896281,0.126088
1669053125.096189,0.123573
1669053125.296253,0.123573
1669053125.496184,0.123573
1669053125.696172,0.120047
1669053125.896245,0.120047
1669053126.096157,0.120047
1669053126.296186,0.115936
1669053126.496413,0.115936
1669053126.696186,0.115936
1669053126.896096,0.117699
1669053127.096195,0.117699
1669053127.296166,0.117699
1669053127.496099,0.115042
1669053127.696149,0.115042
1669053127.896090,0.114448
1669053128.096119,0.111472
1669053128.296138,0.111472
1669053128.496346,0.111472
1669053128.696329,0.112185
1669053128.896298,0.112185
1669053129.096184,0.109359
1669053129.296142,0.110847
1669053129.496191,0.110533
1669053129.696176,0.110533
1669053129.896153,0.110533
1669053130.096173,0.110533
1669053130.296177,0.110533
1669053130.496098,0.110639
1669053130.696151,0.110639
1669053130.896073,0.105408
1669053131.096199,0.105408
1669053131.296083,0.106359
1669053131.496077,0.107384
1669053131.696148,0.107384
1669053131.896092,0.104394
1669053132.096153,0.104394
1669053132.296171,0.103032
1669053132.496207,0.100483
1669053132.696351,0.100483
1669053132.896096,0.096119
1669053133.096126,0.097076
1669053133.296134,0.098539
1669053133.496278,0.098539
1669053133.696209,0.098539
1669053133.896134,0.096679
1669053134.096159,0.096679
1669053134.296213,0.096679
1669053134.496092,0.098240
1669053134.696085,0.099046
1669053134.896093,0.094126
1669053135.096096,0.093900
1669053135.296176,0.093900
1669053135.496068,0.090903
1669053135.696152,0.090903
1669053135.896158,0.090903
1669053136.096146,0.090903
1669053136.296153,0.090903
1669053136.496331,0.090903
1669053136.696217,0.090903
1669053136.896352,0.090903
1669053137.096248,0.090903
1669053137.296131,0.082675
1669053137.496209,0.082675
1669053137.696172,0.082675
1669053137.896171,0.082675
1669053138.096225,0.082675
1669053138.296150,0.082675
1669053138.496178,0.082675
1669053138.696160,0.082675
1669053138.896168,0.082675
1669053139.096107,0.079064
1669053139.296156,0.079064
1669053139.496241,0.079064
1669053139.696160,0.072934
1669053139.896139,0.072934
1669053140.096195,0.072934
1669053140.296177,0.072934
1669053140.496349,0.072934
1669053140.696324,0.072934
1669053140.896155,0.068791
1669053141.096162,0.063673
1669053141.296203,0.066010
1669053141.496138,0.064530
