__time,/RMSE/data,/RMSE/data.0,/RMSE/data.1,/RMSE/layout/data_offset
1669055496.799030,,0.116503,0.075351,0.000000
1669055496.998998,,0.116503,0.075351,0.000000
1669055497.199281,,0.116503,0.075351,0.000000
1669055497.399259,,0.116503,0.075351,0.000000
1669055497.599266,,0.116503,0.075351,0.000000
1669055497.799340,,0.113190,0.075198,0.000000
1669055497.999207,,0.113190,0.075198,0.000000
1669055498.199174,,0.113190,0.075198,0.000000
1669055498.399095,,0.112061,0.075095,0.000000
1669055498.599068,,0.112061,0.075095,0.000000
1669055498.799016,,0.106866,0.076575,0.000000
1669055498.999049,,0.102398,0.075433,0.000000
1669055499.199123,,0.102398,0.075433,0.000000
1669055499.399039,,0.095519,0.074652,0.000000
1669055499.599086,,0.095519,0.074652,0.000000
1669055499.799028,,0.096402,0.073550,0.000000
1669055499.999000,,0.096402,0.073550,0.000000
1669055500.199088,,0.099842,0.072790,0.000000
1669055500.399074,,0.093374,0.071658,0.000000
1669055500.599145,,0.093374,0.071658,0.000000
1669055500.799050,,0.093374,0.071658,0.000000
1669055500.999040,,0.091610,0.071605,0.000000
1669055501.199292,,0.089523,0.071677,0.000000
1669055501.399318,,0.091916,0.071405,0.000000
1669055501.599327,,0.090075,0.071437,0.000000
1669055501.799163,,0.087363,0.072692,0.000000
1669055501.999160,,0.082881,0.072295,0.000000
1669055502.199053,,0.086379,0.071914,0.000000
1669055502.399019,,0.082441,0.072411,0.000000
1669055502.599062,,0.082441,0.072411,0.000000
1669055502.799033,,0.078657,0.072227,0.000000
1669055502.999101,,0.078931,0.071995,0.000000
1669055503.199057,,0.075800,0.072787,0.000000
1669055503.399022,,0.076508,0.072453,0.000000
1669055503.599133,,0.072895,0.073501,0.000000
1669055503.799170,,0.074196,0.074086,0.000000
1669055503.999053,,0.074196,0.074086,0.000000
1669055504.199091,,0.074196,0.074086,0.000000
1669055504.399111,,0.074196,0.074086,0.000000
1669055504.599252,,0.074196,0.074086,0.000000
1669055504.799059,,0.074196,0.074086,0.000000
1669055504.999166,,0.074196,0.074086,0.000000
1669055505.199171,,0.074196,0.074086,0.000000
1669055505.399323,,0.074196,0.074086,0.000000
1669055505.599285,,0.074196,0.074086,0.000000
1669055505.799316,,0.074196,0.074086,0.000000
1669055505.999243,,0.074196,0.074086,0.000000
1669055506.199071,,0.054687,0.069794,0.000000
1669055506.399016,,0.054687,0.069794,0.000000
1669055506.599021,,0.054687,0.069794,0.000000
1669055506.799098,,0.049302,0.070781,0.000000
1669055506.999048,,0.049302,0.070781,0.000000
1669055507.199003,,0.049302,0.070781,0.000000
1669055507.399027,,0.045475,0.068159,0.000000
1669055507.599055,,0.044945,0.068110,0.000000
1669055507.799071,,0.039440,0.068436,0.000000
1669055507.999003,,0.039440,0.068436,0.000000
1669055508.199101,,0.039440,0.068436,0.000000
1669055508.399057,,0.040036,0.068080,0.000000
1669055508.599076,,0.040036,0.068080,0.000000
1669055508.799063,,0.040036,0.068080,0.000000
1669055508.999072,,0.040036,0.068080,0.000000
